Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
58,0,Travel_Rarely,1488,Human Resources,9,4,Human Resources,3,Female,94,2,5,Manager,1,Married,18895,19749,5,No,14,3,4,3,19,2,1,2,0,0,0
23,1,Travel_Rarely,923,Research & Development,19,2,Technical Degree,3,Male,62,1,2,Healthcare Representative,3,Married,8268,7029,8,Yes,15,3,1,0,4,6,2,3,0,2,0
51,0,Non-Travel,1245,Research & Development,20,1,Other,1,Male,65,2,4,Research Director,2,Divorced,14907,5719,7,No,20,4,4,1,14,2,3,9,9,7,5
56,0,Travel_Rarely,1362,Human Resources,28,2,Medical,1,Female,78,1,5,Manager,4,Married,18623,25833,5,No,25,4,3,1,19,2,3,18,12,4,0
32,0,Non-Travel,587,Research & Development,5,5,Technical Degree,4,Male,61,3,1,Research Scientist,4,Single,5680,5419,3,No,25,4,4,0,3,2,3,1,1,0,0
53,1,Travel_Frequently,534,Research & Development,27,3,Technical Degree,1,Male,92,1,2,Manufacturing Director,4,Divorced,9258,12209,1,Yes,14,3,3,0,9,3,3,2,1,1,1
34,0,Travel_Rarely,459,Research & Development,17,2,Technical Degree,3,Female,33,4,1,Laboratory Technician,3,Divorced,5799,11911,5,No,19,3,2,1,4,5,3,3,0,2,2
48,0,Travel_Rarely,206,Human Resources,22,1,Life Sciences,1,Male,92,3,2,Human Resources,2,Divorced,8249,22527,5,No,23,4,2,0,4,0,3,2,0,2,0
27,0,Travel_Rarely,813,Sales,23,3,Other,4,Male,68,1,3,Sales Executive,1,Married,11227,20360,8,No,11,3,1,1,7,2,3,2,1,2,2
44,0,Travel_Rarely,761,Sales,22,3,Other,4,Male,50,3,2,Sales Executive,1,Married,8288,20117,5,No,16,3,2,1,5,2,3,3,3,2,0
30,0,Non-Travel,1149,Research & Development,5,5,Technical Degree,1,Male,80,3,4,Manager,4,Divorced,15091,24700,1,Yes,22,4,4,1,12,2,3,6,2,5,0
23,0,Travel_Rarely,1010,Research & Development,5,3,Other,4,Male,53,2,1,Research Scientist,3,Single,5576,5490,4,Yes,24,4,2,0,3,2,3,2,0,1,0
33,1,Travel_Frequently,501,Sales,28,4,Marketing,1,Male,69,3,5,Manager,2,Married,18088,11510,8,No,18,3,1,2,15,2,2,14,9,13,3
57,0,Travel_Rarely,1220,Research & Development,8,3,Life Sciences,1,Male,56,4,2,Research Scientist,3,Married,8740,19334,3,Yes,11,3,2,3,8,0,2,1,1,1,0
29,0,Travel_Rarely,971,Research & Development,20,3,Life Sciences,4,Male,67,2,2,Laboratory Technician,2,Married,8353,13397,4,No,18,3,4,1,6,2,3,4,3,1,2
31,0,Travel_Frequently,913,Sales,4,4,Life Sciences,4,Female,50,1,1,Sales Representative,3,Single,5478,5417,7,No,24,4,4,2,2,2,3,2,2,0,1
20,0,Non-Travel,1303,Sales,20,4,Medical,3,Male,99,2,4,Manager,3,Married,14324,21956,2,No,18,3,4,0,8,2,4,2,2,0,2
41,0,Travel_Rarely,689,Research & Development,22,1,Life Sciences,4,Male,76,3,1,Laboratory Technician,3,Divorced,5668,8645,7,No,22,4,1,1,4,3,3,2,1,0,0
23,0,Travel_Rarely,678,Research & Development,28,4,Technical Degree,4,Female,80,3,4,Research Director,4,Married,14528,26160,5,No,22,4,3,0,8,2,3,3,2,0,3
51,1,Travel_Frequently,1122,Human Resources,14,2,Other,4,Female,31,1,4,Manager,1,Divorced,15345,6566,4,Yes,17,3,2,0,11,2,1,2,1,0,2
57,1,Travel_Frequently,765,Sales,17,4,Life Sciences,3,Female,87,4,2,Sales Executive,4,Single,8003,13372,5,No,12,3,3,1,5,2,1,5,0,0,5
37,1,Travel_Rarely,801,Research & Development,12,2,Other,1,Male,75,2,2,Laboratory Technician,4,Single,8375,22609,0,No,22,4,4,0,4,6,3,1,0,1,0
55,0,Travel_Frequently,581,Sales,8,3,Marketing,3,Female,55,3,2,Sales Executive,4,Married,8564,9617,0,No,15,3,4,1,7,2,2,3,2,3,2
20,0,Travel_Frequently,760,Research & Development,12,5,Other,1,Male,99,2,3,Manufacturing Director,2,Single,12090,7319,7,No,19,3,4,1,6,5,4,1,0,1,1
45,1,Travel_Frequently,1275,Research & Development,22,4,Technical Degree,1,Male,89,3,2,Laboratory Technician,2,Married,8158,26364,6,No,12,3,4,0,5,5,4,4,2,1,2
45,0,Travel_Rarely,417,Sales,1,4,Medical,3,Female,86,2,5,Manager,1,Married,19176,2271,3,No,18,3,4,0,22,2,1,18,2,6,13
49,1,Travel_Rarely,906,Research & Development,18,2,Life Sciences,2,Female,85,1,2,Healthcare Representative,1,Single,8909,25870,4,Yes,24,4,4,0,7,3,3,4,2,1,4
53,0,Travel_Rarely,518,Research & Development,13,2,Other,1,Male,79,3,3,Healthcare Representative,1,Divorced,12172,25696,3,No,18,3,4,3,11,5,3,7,0,0,2
32,0,Travel_Rarely,553,Research & Development,27,2,Life Sciences,4,Female,66,4,1,Research Scientist,4,Divorced,5813,11903,4,No,23,4,4,0,4,5,3,2,2,1,2
59,0,Travel_Rarely,521,Sales,13,2,Marketing,4,Female,89,3,1,Sales Representative,3,Married,4890,24534,4,No,15,3,4,1,2,5,3,1,0,0,0
50,0,Travel_Rarely,1356,Sales,14,4,Other,2,Male,92,2,1,Sales Representative,1,Married,5585,3435,2,No,22,4,2,1,5,2,3,2,0,2,1
41,0,Non-Travel,978,Sales,1,1,Other,1,Male,61,4,1,Sales Representative,4,Married,4932,13801,6,No,12,3,3,0,4,2,3,3,3,0,3
36,0,Travel_Rarely,1380,Research & Development,15,3,Technical Degree,3,Male,87,2,2,Research Scientist,4,Divorced,8806,14155,8,No,16,3,1,1,8,2,3,3,3,1,2
44,1,Travel_Rarely,1396,Sales,29,4,Medical,4,Male,38,3,1,Sales Representative,4,Married,5154,7797,8,Yes,19,3,3,0,2,2,2,2,1,2,1
21,0,Non-Travel,772,Sales,14,5,Other,4,Male,69,3,5,Manager,4,Single,18159,24431,5,No,12,3,4,1,10,2,4,8,8,0,8
52,0,Travel_Rarely,652,Sales,26,3,Marketing,4,Female,37,2,1,Sales Representative,1,Married,5315,5911,8,No,12,3,1,0,4,3,3,3,1,0,1
26,1,Non-Travel,1013,Sales,14,1,Life Sciences,1,Female,51,2,1,Sales Representative,1,Married,5206,6644,4,Yes,18,3,4,1,4,6,2,2,0,0,2
29,0,Travel_Frequently,677,Research & Development,21,4,Life Sciences,4,Male,63,3,4,Research Director,2,Single,15039,13171,4,Yes,16,3,2,0,8,3,4,3,3,0,3
31,1,Travel_Rarely,937,Research & Development,23,3,Other,2,Female,46,3,1,Laboratory Technician,3,Single,5442,26603,8,No,12,3,1,1,2,4,3,1,1,1,0
20,0,Non-Travel,264,Sales,10,3,Medical,3,Male,78,2,2,Sales Executive,3,Single,8103,5568,4,Yes,18,3,3,0,4,4,4,4,3,0,2
34,1,Travel_Rarely,1308,Research & Development,26,1,Life Sciences,1,Male,68,3,2,Manufacturing Director,4,Divorced,8796,23726,1,Yes,18,3,2,0,5,3,3,4,4,1,2
57,0,Travel_Rarely,843,Research & Development,21,1,Life Sciences,3,Male,75,3,5,Manager,4,Divorced,18702,5072,0,Yes,13,3,1,1,19,5,3,11,9,1,1
24,1,Travel_Rarely,1454,Research & Development,25,4,Other,4,Male,30,3,4,Manager,4,Married,14664,3367,8,No,24,4,4,0,8,3,3,3,1,1,1
34,0,Travel_Rarely,403,Research & Development,17,3,Technical Degree,1,Male,66,3,1,Laboratory Technician,1,Married,5693,13563,8,No,14,3,3,0,2,3,3,2,1,1,0
25,0,Non-Travel,769,Sales,28,4,Medical,3,Male,47,3,4,Manager,1,Single,14719,14289,7,No,11,3,3,0,8,6,2,8,4,3,2
49,0,Travel_Rarely,620,Research & Development,29,2,Medical,4,Female,44,3,2,Healthcare Representative,4,Single,8125,18393,5,No,18,3,3,1,6,2,1,5,5,5,4
27,1,Travel_Rarely,518,Sales,7,3,Life Sciences,1,Male,61,3,3,Sales Executive,3,Single,11854,11160,5,No,24,4,3,0,7,3,2,1,0,0,0
44,1,Travel_Rarely,1193,Human Resources,17,1,Medical,2,Female,70,3,2,Human Resources,3,Married,9090,19091,8,No,23,4,2,0,7,3,4,5,0,3,2
24,0,Travel_Rarely,545,Research & Development,3,2,Other,1,Female,59,3,4,Research Director,2,Married,14917,2632,8,No,17,3,4,0,8,3,3,4,1,3,4
31,1,Travel_Frequently,580,Human Resources,20,4,Other,3,Male,52,3,2,Human Resources,3,Single,8553,24641,3,Yes,23,4,3,1,4,2,1,1,1,1,1
46,1,Travel_Frequently,1047,Research & Development,6,4,Technical Degree,3,Female,43,4,1,Research Scientist,4,Single,4806,10264,5,No,25,4,2,0,3,2,4,1,0,1,1
21,0,Travel_Rarely,1296,Research & Development,1,4,Other,3,Male,89,3,4,Manager,4,Divorced,14378,25563,1,No,22,4,1,1,8,2,3,5,4,1,4
37,0,Travel_Rarely,982,Research & Development,19,3,Other,1,Male,36,2,4,Manager,3,Married,15393,26975,8,Yes,22,4,4,1,14,3,3,3,0,2,0
59,0,Travel_Rarely,760,Sales,5,4,Other,3,Male,39,2,5,Manager,2,Married,18590,26022,4,No,20,4,3,0,15,2,3,5,5,1,5
32,0,Travel_Frequently,120,Research & Development,3,2,Life Sciences,3,Female,71,3,2,Laboratory Technician,2,Divorced,8753,12636,3,No,11,3,1,2,7,6,2,2,2,0,0
28,1,Travel_Frequently,944,Sales,8,3,Other,3,Male,72,3,1,Sales Representative,4,Single,5007,5456,0,Yes,23,4,3,1,5,4,3,5,2,4,3
36,1,Travel_Rarely,1062,Human Resources,7,4,Other,2,Male,78,3,1,Human Resources,3,Single,5845,20211,8,No,24,4,4,0,4,2,1,4,3,0,0
44,0,Travel_Rarely,1295,Research & Development,22,3,Technical Degree,4,Female,61,3,4,Manager,3,Divorced,14813,2685,8,No,11,3,1,0,9,3,1,7,0,0,7
51,0,Travel_Rarely,187,Research & Development,8,4,Other,3,Female,73,2,1,Research Scientist,1,Single,5282,12517,4,No,21,4,2,1,5,3,3,5,4,1,1
22,0,Travel_Rarely,1022,Research & Development,15,2,Technical Degree,3,Female,95,3,2,Manufacturing Director,4,Divorced,8130,4159,4,No,23,4,4,1,4,3,2,2,2,0,1
45,0,Travel_Rarely,504,Sales,19,4,Life Sciences,3,Male,67,3,3,Sales Executive,1,Divorced,12470,7891,4,No,22,4,2,0,11,3,3,3,1,0,1
26,0,Travel_Rarely,1473,Research & Development,24,3,Technical Degree,4,Male,84,2,4,Manager,4,Married,15039,8256,2,No,17,3,3,1,8,2,1,4,1,4,3
47,0,Travel_Rarely,809,Sales,16,2,Marketing,3,Female,80,4,4,Manager,4,Married,15229,25284,0,No,13,3,4,1,11,2,4,10,1,2,10
24,1,Travel_Rarely,975,Sales,4,1,Other,4,Female,59,4,2,Sales Executive,4,Married,8507,11557,3,Yes,22,4,1,0,6,2,1,4,0,3,0
33,0,Non-Travel,995,Research & Development,24,1,Technical Degree,3,Male,43,3,4,Manager,2,Married,14891,7432,4,No,15,3,2,0,9,6,3,8,3,7,6
22,1,Travel_Frequently,628,Sales,29,2,Other,1,Male,99,2,2,Sales Executive,2,Single,8076,19901,8,No,16,3,4,1,4,4,3,1,1,1,1
24,0,Travel_Rarely,843,Sales,12,1,Life Sciences,3,Male,43,3,2,Sales Executive,3,Divorced,8475,18282,3,No,23,4,1,1,6,3,3,5,3,1,3
45,0,Travel_Rarely,337,Research & Development,3,1,Life Sciences,3,Male,71,3,1,Laboratory Technician,2,Married,5358,8971,7,No,14,3,4,1,3,3,4,1,1,0,0
35,0,Travel_Rarely,1285,Sales,8,4,Medical,3,Male,33,2,5,Manager,3,Divorced,18468,2923,4,Yes,16,3,3,1,17,6,1,11,6,0,6
46,0,Travel_Rarely,575,Sales,3,2,Marketing,4,Male,59,3,4,Manager,3,Divorced,15987,11177,1,No,15,3,4,1,19,2,2,12,8,4,7
52,0,Travel_Rarely,100,Research & Development,16,3,Medical,4,Male,92,3,3,Healthcare Representative,4,Married,11323,11794,5,No,14,3,2,2,7,4,1,2,2,2,2
34,0,Travel_Frequently,955,Research & Development,7,4,Life Sciences,1,Male,43,4,2,Manufacturing Director,3,Married,8423,6249,3,No,16,3,4,0,5,2,1,4,4,2,2
38,0,Travel_Frequently,1326,Human Resources,9,3,Life Sciences,4,Female,82,2,1,Human Resources,4,Divorced,5088,20146,0,No,19,3,1,1,5,2,3,1,1,0,1
23,0,Travel_Rarely,1447,Research & Development,23,3,Other,4,Female,64,2,2,Healthcare Representative,3,Married,8200,11168,0,No,12,3,2,1,5,4,3,5,3,4,2
42,1,Travel_Rarely,1285,Research & Development,29,2,Medical,4,Male,84,3,2,Healthcare Representative,4,Married,9183,11984,5,No,18,3,3,0,7,3,3,6,3,4,2
44,0,Travel_Rarely,964,Research & Development,25,3,Other,3,Female,68,2,4,Research Director,3,Divorced,15691,18724,7,No,15,3,2,0,13,3,2,1,1,0,1
28,1,Travel_Frequently,1087,Sales,7,3,Marketing,4,Female,98,4,2,Sales Executive,1,Married,8302,6615,0,No,19,3,2,1,7,3,3,5,4,4,3
42,0,Travel_Frequently,870,Research & Development,5,2,Medical,3,Male,99,3,3,Healthcare Representative,1,Married,12612,13777,1,No,23,4,1,0,14,1,3,10,1,2,10
59,0,Non-Travel,1311,Sales,5,2,Life Sciences,3,Male,61,2,2,Sales Executive,4,Married,8029,19858,4,No,13,3,3,2,5,4,3,4,2,4,0
42,0,Travel_Rarely,424,Research & Development,24,2,Technical Degree,3,Female,37,1,1,Laboratory Technician,4,Married,5375,2929,0,No,14,3,4,0,3,3,2,3,2,2,2
50,1,Travel_Rarely,1158,Sales,4,1,Life Sciences,2,Male,35,4,2,Sales Executive,3,Single,9168,2785,4,No,22,4,2,3,8,3,2,6,1,4,1
36,1,Travel_Rarely,1403,Research & Development,21,4,Other,3,Female,42,2,4,Manager,2,Married,16258,15283,2,Yes,13,3,1,0,18,3,1,12,10,6,3
37,1,Travel_Rarely,657,Research & Development,17,4,Other,4,Female,41,2,1,Research Scientist,3,Single,4819,15893,4,Yes,11,3,3,1,3,5,3,1,1,0,0
51,1,Travel_Rarely,436,Research & Development,11,4,Other,2,Male,48,3,2,Laboratory Technician,4,Single,9348,9742,7,No,16,3,3,2,10,2,3,4,4,2,0
50,1,Travel_Frequently,124,Sales,21,3,Other,4,Female,66,2,1,Sales Representative,2,Single,5191,24528,6,No,25,4,4,0,4,2,1,2,1,0,2
24,1,Travel_Rarely,474,Sales,2,1,Medical,3,Female,63,3,3,Sales Executive,1,Married,12035,26297,5,No,22,4,2,0,6,3,2,5,4,2,2
21,0,Travel_Frequently,1197,Sales,23,4,Medical,2,Male,39,3,5,Manager,2,Single,18043,26035,0,No,18,3,3,1,10,3,4,3,0,0,1
33,1,Travel_Rarely,1219,Research & Development,27,4,Other,2,Male,67,3,4,Manager,2,Single,15153,24736,0,Yes,17,3,1,1,15,3,3,1,0,0,0
25,0,Travel_Rarely,731,Research & Development,27,4,Other,3,Male,84,4,2,Research Scientist,4,Single,8828,8318,0,Yes,17,3,3,2,6,2,3,5,0,1,1
56,0,Travel_Rarely,840,Human Resources,19,3,Medical,4,Female,42,2,4,Manager,3,Married,14609,15411,6,Yes,25,4,2,1,9,3,3,3,3,0,3
57,0,Non-Travel,664,Research & Development,8,3,Life Sciences,4,Female,73,2,4,Manager,3,Married,14653,26366,8,No,15,3,2,1,11,3,3,5,3,2,2
57,0,Travel_Rarely,274,Research & Development,17,4,Life Sciences,2,Male,63,3,5,Manager,4,Married,18798,17493,5,No,17,3,1,0,16,0,3,12,0,7,11
52,0,Travel_Rarely,511,Sales,13,5,Other,4,Female,73,1,4,Manager,4,Married,15025,10707,8,No,20,4,4,2,13,6,3,11,3,7,2
51,0,Travel_Rarely,658,Sales,7,2,Medical,3,Male,60,3,5,Manager,3,Married,19337,16824,3,No,24,4,1,0,24,1,3,11,10,0,0
24,0,Travel_Rarely,719,Research & Development,29,4,Technical Degree,4,Male,62,3,1,Research Scientist,4,Married,5134,26272,7,No,21,4,4,0,4,3,3,2,2,1,1
47,0,Travel_Rarely,344,Sales,25,2,Other,3,Female,95,4,2,Sales Executive,1,Married,9010,19313,1,No,17,3,2,1,7,2,1,3,0,2,0
49,0,Travel_Rarely,712,Sales,22,4,Life Sciences,3,Female,56,3,5,Manager,4,Married,18689,13128,7,No,23,4,2,1,14,3,3,8,7,1,6
29,0,Travel_Rarely,423,Sales,7,3,Other,2,Female,94,3,1,Sales Representative,4,Divorced,4881,20545,3,No,11,3,4,1,3,2,3,1,1,0,1
42,0,Travel_Rarely,890,Research & Development,13,2,Life Sciences,3,Male,44,3,3,Manufacturing Director,3,Single,11831,17089,4,No,14,3,3,0,12,2,2,7,6,1,7
38,0,Travel_Rarely,976,Research & Development,1,3,Other,4,Female,98,3,5,Manager,2,Married,17978,6958,4,No,24,4,3,0,12,3,3,2,0,0,2
25,1,Travel_Rarely,305,Research & Development,19,1,Other,1,Male,86,2,2,Laboratory Technician,4,Single,8946,22975,8,Yes,21,4,3,0,5,6,3,2,1,1,0
35,0,Non-Travel,1314,Sales,10,1,Life Sciences,2,Male,80,3,2,Sales Executive,2,Married,9032,14067,4,No,11,3,3,0,7,5,3,7,0,2,4
59,0,Travel_Rarely,963,Research & Development,17,1,Medical,1,Female,97,2,2,Manufacturing Director,2,Married,7999,8033,2,No,11,3,3,1,4,0,2,4,4,0,0
59,1,Travel_Rarely,527,Sales,6,3,Life Sciences,4,Female,52,1,2,Sales Executive,3,Single,8851,21477,8,No,13,3,4,0,9,3,3,3,2,3,3
33,1,Non-Travel,118,Research & Development,28,2,Medical,1,Female,98,3,2,Manufacturing Director,1,Divorced,9079,26442,0,No,12,3,3,0,7,2,4,6,4,5,2
52,0,Travel_Rarely,524,Research & Development,24,5,Technical Degree,2,Female,78,4,5,Manager,4,Single,18073,22186,8,No,11,3,1,1,11,2,3,6,1,4,3
29,1,Travel_Rarely,1406,Research & Development,23,1,Other,1,Female,39,4,2,Manufacturing Director,2,Married,9218,14360,5,Yes,11,3,1,3,10,3,3,2,1,0,1
55,1,Travel_Rarely,1196,Research & Development,27,4,Life Sciences,4,Male,75,2,1,Laboratory Technician,3,Single,5596,14905,8,No,16,3,4,1,2,6,3,1,1,0,0
46,0,Travel_Rarely,836,Research & Development,29,3,Other,3,Female,98,4,3,Manufacturing Director,2,Divorced,12374,20730,3,Yes,12,3,3,0,13,1,3,7,0,4,6
22,0,Travel_Rarely,1492,Research & Development,19,3,Technical Degree,2,Male,89,3,2,Research Scientist,2,Married,8194,13035,5,No,11,3,3,1,4,5,2,2,1,0,0
40,1,Travel_Rarely,1033,Research & Development,11,4,Technical Degree,1,Female,30,3,1,Laboratory Technician,2,Divorced,5973,3637,0,No,16,3,3,1,5,2,1,5,2,5,3
29,0,Travel_Rarely,721,Sales,1,3,Medical,2,Female,78,3,1,Sales Representative,3,Divorced,5547,17721,6,No,20,4,2,3,5,5,3,1,0,0,1
40,0,Travel_Rarely,1168,Sales,23,4,Medical,4,Female,46,3,1,Sales Representative,3,Married,5618,13510,3,No,18,3,3,0,2,4,2,1,0,1,1
37,0,Travel_Rarely,236,Research & Development,26,3,Life Sciences,1,Male,76,2,4,Manager,3,Married,15308,21744,7,No,24,4,3,1,13,4,2,3,1,2,1
59,0,Travel_Frequently,920,Sales,16,4,Marketing,3,Male,94,3,2,Sales Executive,4,Married,8402,20160,6,No,24,4,3,1,8,3,4,5,1,0,2
22,1,Non-Travel,641,Research & Development,24,4,Technical Degree,3,Female,86,4,4,Research Director,2,Single,15241,11447,2,No,12,3,1,0,8,5,2,3,2,1,0
51,0,Travel_Frequently,743,Research & Development,17,1,Other,2,Male,89,3,4,Manager,3,Married,15073,24387,7,No,21,4,4,0,10,3,3,3,1,1,3
46,1,Travel_Rarely,670,Research & Development,24,3,Medical,1,Female,38,3,2,Laboratory Technician,3,Married,8540,4942,2,Yes,22,4,4,1,5,2,3,4,0,2,4
35,0,Travel_Rarely,1441,Sales,10,3,Marketing,3,Female,91,3,4,Manager,2,Divorced,15057,12744,2,No,25,4,3,1,9,3,2,1,1,1,1
20,0,Travel_Rarely,927,Research & Development,7,4,Life Sciences,4,Female,75,3,3,Healthcare Representative,4,Single,11690,2689,4,Yes,16,3,4,2,6,2,3,4,0,4,4
59,0,Travel_Rarely,1016,Sales,29,1,Other,1,Female,83,4,5,Manager,2,Single,19158,16282,0,No,24,4,4,3,22,2,3,3,2,2,3
54,0,Non-Travel,954,Research & Development,11,1,Other,4,Female,53,3,5,Manager,3,Married,17910,2650,8,No,24,4,2,0,12,2,1,11,1,9,10
24,0,Travel_Rarely,938,Human Resources,11,4,Life Sciences,4,Female,33,3,5,Manager,4,Divorced,17563,8336,5,No,25,4,1,0,10,2,4,9,8,8,5
36,1,Travel_Rarely,975,Sales,12,3,Life Sciences,3,Male,69,4,1,Sales Representative,3,Married,5386,22266,3,No,16,3,4,0,3,3,3,1,0,1,1
45,0,Travel_Rarely,984,Research & Development,27,4,Other,1,Male,49,3,2,Healthcare Representative,2,Married,8606,16715,8,No,17,3,4,1,5,2,4,1,0,0,0
36,1,Non-Travel,1183,Sales,2,3,Marketing,1,Male,39,4,1,Sales Representative,1,Married,5267,6134,7,Yes,22,4,3,0,2,2,3,2,0,2,2
51,0,Non-Travel,834,Human Resources,24,1,Life Sciences,3,Female,86,2,4,Manager,3,Married,15246,12345,6,No,15,3,4,0,15,2,2,14,7,2,11
32,1,Travel_Rarely,1011,Research & Development,23,4,Technical Degree,4,Female,84,4,2,Laboratory Technician,2,Married,8517,13971,8,Yes,21,4,1,2,10,3,3,6,2,3,6
32,0,Travel_Rarely,707,Sales,22,2,Marketing,3,Male,67,3,2,Sales Executive,3,Married,8805,8855,5,No,17,3,1,1,9,3,3,3,3,2,0
33,1,Travel_Rarely,436,Research & Development,5,2,Technical Degree,3,Female,83,2,1,Laboratory Technician,2,Married,5416,21363,0,No,11,3,4,1,2,3,2,1,0,1,1
43,1,Travel_Rarely,705,Research & Development,27,3,Technical Degree,1,Male,50,3,1,Laboratory Technician,4,Single,5780,20031,1,Yes,17,3,3,0,3,3,3,3,0,3,1
34,0,Non-Travel,1313,Sales,20,4,Other,4,Male,41,3,1,Sales Representative,4,Single,5666,5303,8,No,20,4,2,0,5,2,2,1,0,1,0
50,0,Travel_Frequently,372,Sales,6,1,Marketing,4,Female,35,3,1,Sales Representative,4,Divorced,5367,13410,7,No,18,3,2,2,2,2,2,1,0,1,0
56,1,Travel_Rarely,1067,Sales,17,4,Life Sciences,3,Female,33,4,1,Sales Representative,2,Married,5359,22389,7,No,22,4,2,1,4,2,1,4,0,1,1
31,0,Travel_Rarely,951,Research & Development,10,4,Life Sciences,3,Male,41,2,5,Manager,1,Married,17933,15782,1,No,14,3,2,2,10,2,2,3,3,0,0
20,1,Travel_Frequently,1487,Research & Development,21,4,Medical,3,Female,76,2,1,Laboratory Technician,3,Married,4811,10662,5,No,14,3,2,2,2,3,3,2,0,1,0
54,0,Non-Travel,1059,Research & Development,29,4,Other,1,Male,90,1,2,Manufacturing Director,2,Married,8990,25420,6,No,16,3,1,0,6,2,3,2,0,2,1
58,0,Non-Travel,756,Human Resources,23,2,Other,4,Male,67,3,2,Human Resources,1,Single,9001,15136,0,No,24,4,3,0,9,5,3,6,2,4,5
33,0,Travel_Rarely,112,Research & Development,3,1,Technical Degree,3,Female,36,1,4,Research Director,3,Married,15325,16719,3,No,22,4,3,1,13,2,4,6,2,1,1
54,0,Travel_Frequently,235,Research & Development,29,3,Other,4,Male,53,4,2,Manufacturing Director,3,Married,9057,5854,1,No,21,4,4,1,8,2,3,8,3,7,3
21,0,Travel_Rarely,1269,Sales,18,1,Medical,4,Female,44,3,4,Manager,3,Married,14917,19831,6,No,20,4,4,1,8,3,3,2,0,1,0
39,1,Travel_Frequently,1356,Research & Development,4,2,Technical Degree,2,Male,52,4,2,Manufacturing Director,4,Single,8750,15001,0,No,13,3,3,0,10,5,2,10,2,8,6
